Name,Seller,Condition,Price,Shipping Cost,Shipping Country,Free Return,Last Item,Best Seller,Buy Now,Generation
Apple iPhone 13 - 128GB - spacegrey (bez simlocka) z oryginalnym opakowaniem i wadami,  prywatny,Używany ,"576,33 ","62,32", Niemcy,False,False,False,False,13
Apple iPhone 12 - 64GB,  prywatny,Używany ,"950,00 ",0, Polska,False,False,False,False,12
iPhone 12 Czerwony 64GB Produkt Czerwony Odblokowany Bardzo dobry stan - Bez identyfikatora twarzy,  firma,Używany ,"4,95 ","74,01", Wielka Brytania,False,False,False,False,12
Pakiet 6 iPhone 12 / X / 7 / 6s / 6S Plus z blokadą iCloud,  firma,Tylko na części ,"19,35 ","64,30", Niemcy,False,False,False,False,12
iphone 11 128gb,  prywatny,Tylko na części ,"200,00 ",0, Polska,False,False,False,False,11
"Smartfon Apple iPhone 13 6,1"" 128GB blokada iCloud część zamienna / uszkodzony",  firma,Tylko na części ,"23,66 ","42,97", Niemcy,False,False,False,False,13
Apple iPhone 11 - 128GB - czarny (bez simlocka) (Dual SIM) - doskonały stan,  prywatny,Używany ,"23,66 ","62,32", Niemcy,False,False,False,False,11
Apple iPhone 12 mini - 64GB - niebieski (bez simlocka) (Dual SIM),  prywatny,Używany ,"989,18 ","64,08", Niemcy,False,False,False,False,12
iphone 12 128gb,  prywatny,Tylko na części ,"387,09 ","68,77", Belgia,False,False,False,False,12
Apple iPhone 12 - 64GB - Schwarz (O2) A2403 (CDMA + GSM),  prywatny,Fabrycznie nowy ,"950,00 ",Bezpłatna wysyłka, Polska,False,False,False,False,12
Apple iPhone 11 - 64GB - czarny (odblokowany) A2111 (CDMA + GSM) uszkodzony przez wodę odczyt!,  prywatny,Tylko na części ,"395,57 ","98,45", Stany Zjednoczone,False,False,False,False,11
iPhone 12 Pro Max,  prywatny,Tylko na części ,"989,22 ","107,52", Irlandia,False,False,False,False,12
"Pakiet iPhones Apple, nieprzetestowany jako wadliwy i wydobycie części zamiennych",  prywatny,Tylko na części ,"232,25 ","51,61", Niemcy,False,False,False,False,
Apple iPhone 7 256GB diamentowy czarny iOS smartfon zwrot klienta jak nowy,  firma,Odnowiony ,"688,11 ","38,67", Niemcy,True,False,True,False,7
Iphone 11 usato ottime condizioni Nero 128 Gb + 1 vetro protettivo incluso,  prywatny,Używany ,"1 075,24 ","25,81", Włochy,False,False,False,False,11
"Apple iPhone SE (2020) 64GB Black, NOWY Inne",  firma,Nowy (inny) ,"709,23 ","43,01", Niemcy,True,False,False,False,se
Apple iPhone 12 mini 64/128/256GB odblokowany wszystkie kolory dobry stan,  firma,Odnowiony ,"849,55  do 1 099,43 ",Bezpłatna wysyłka za granicę, Wielka Brytania,False,False,False,False,12
Apple iPhone 6s 128/64GB,  prywatny,Nowy (inny) ,"193,54 ","32,26", Niemcy,False,False,False,False,6s
Apple iPhone 13 Pro Max A2643 - 128GB - grafitowy / iCloud zablokowany! Zamknięty!,  firma,Tylko na części ,"1 070,94 ","86,02", Niemcy,False,False,True,False,13
iPhone 13 na części IC zablokowany różowy,  firma,Tylko na części ,"759,18 ","93,50", Stany Zjednoczone,False,False,False,False,13
"Apple iPhone 13 Pro 128GB alpejska zieleń, świetny stan z USB DARMOWA WYSYŁKA",  prywatny,Używany ,"1 249,41 ","97,00", Wielka Brytania,False,False,False,False,13
Apple iPhone 13 - 128GB - zielony (odblokowany) (Dual SIM),  prywatny,Używany ,"669,28 ","124,67", Stany Zjednoczone,False,False,False,False,13
iPhone XR jako 15 Pro tytan niebieski 64GB doskonały stan bez simlocka DualSIM Face ID 4K,  firma,Używany ,"4,30 ","90,32", Niemcy,False,False,False,False,xr
Apple iPhone 14 Pro Max - 128GB uszkodzony przeczytaj opis proszę,  prywatny,Tylko na części ,"1 924,08 ","160,17", Wielka Brytania,False,False,False,False,14
Apple iPhone 13 Mini 128/256/512GB 5G Odblokowany wszystkie kolory Dobry stan,  firma,Odnowiony ,"1 324,32 ",Bezpłatna wysyłka za granicę, Wielka Brytania,False,False,False,False,13
iPhone 13 - 128GB - odblokowany (Przeczytaj opis) BI1174,  firma,Używany ,"469,49 ","84,11", Stany Zjednoczone,False,False,True,False,13
Apple iPhone 13 - 128GB - niebieski (Verizon) (Dual SIM),  prywatny,Nowy (inny) ,"1 438,41 ","167,22", Stany Zjednoczone,False,False,False,False,13
Apple iPhone 13 - 256GB - Starlight (bez simlocka) (Dual SIM) Biały TOP!,  prywatny,Używany ,"45,16 ","62,32", Niemcy,False,False,False,False,13
Apple iPhone XS - 64GB - złoty | FaceID uszkodzony,  prywatny,Używany ,"430,10 ","55,87", Niemcy,False,False,False,False,xs
Oryginalny Apple iPhone 3G 16GB Czarny! Bez simlocka! TOP! Oryginalne opakowanie! IMEI równe!,  firma,Używany ,"1 281,69 ","43,01", Niemcy,True,False,True,False,3g
Apple iPhone 11 64GB/128GB/256GB - WSZYSTKIE KOLORY - ODBLOKOWANY - DOBRY STAN,  firma,Odnowiony ,"899,52  do 1 049,45 ","149,93", Wielka Brytania,False,False,False,False,11
Apple iPhone 12 64GB 128GB Odblokowany Verizon AT&T T-Mobile US Cellular Clean IME,  firma,Używany ,"815,12  do 1 274,63 ","95,34", Stany Zjednoczone,False,False,True,False,12
